This is just a note for myself and potentially others stumbled across a glitch related to
writing OAM and wanted to debug it. It just contains a conversion table between slot numbers,
indexes, and the RAM to write.

Slot:       Index (increments of 4): $0200:      $0420
+------------------------------------------------------
0   ($00)   0   ($0000)              $0200-$0203 $0420
1   ($01)   4   ($0004)              $0204-$0207 $0421
2   ($02)   8   ($0008)              $0208-$020B $0422
3   ($03)   12  ($000C)              $020C-$020F $0423
4   ($04)   16  ($0010)              $0210-$0213 $0424
5   ($05)   20  ($0014)              $0214-$0217 $0425
6   ($06)   24  ($0018)              $0218-$021B $0426
7   ($07)   28  ($001C)              $021C-$021F $0427
8   ($08)   32  ($0020)              $0220-$0223 $0428
9   ($09)   36  ($0024)              $0224-$0227 $0429
10  ($0A)   40  ($0028)              $0228-$022B $042A
11  ($0B)   44  ($002C)              $022C-$022F $042B
12  ($0C)   48  ($0030)              $0230-$0233 $042C
13  ($0D)   52  ($0034)              $0234-$0237 $042D
14  ($0E)   56  ($0038)              $0238-$023B $042E
15  ($0F)   60  ($003C)              $023C-$023F $042F
16  ($10)   64  ($0040)              $0240-$0243 $0430
17  ($11)   68  ($0044)              $0244-$0247 $0431
18  ($12)   72  ($0048)              $0248-$024B $0432
19  ($13)   76  ($004C)              $024C-$024F $0433
20  ($14)   80  ($0050)              $0250-$0253 $0434
21  ($15)   84  ($0054)              $0254-$0257 $0435
22  ($16)   88  ($0058)              $0258-$025B $0436
23  ($17)   92  ($005C)              $025C-$025F $0437
24  ($18)   96  ($0060)              $0260-$0263 $0438
25  ($19)   100 ($0064)              $0264-$0267 $0439
26  ($1A)   104 ($0068)              $0268-$026B $043A
27  ($1B)   108 ($006C)              $026C-$026F $043B
28  ($1C)   112 ($0070)              $0270-$0273 $043C
29  ($1D)   116 ($0074)              $0274-$0277 $043D
30  ($1E)   120 ($0078)              $0278-$027B $043E
31  ($1F)   124 ($007C)              $027C-$027F $043F
32  ($20)   128 ($0080)              $0280-$0283 $0440
33  ($21)   132 ($0084)              $0284-$0287 $0441
34  ($22)   136 ($0088)              $0288-$028B $0442
35  ($23)   140 ($008C)              $028C-$028F $0443
36  ($24)   144 ($0090)              $0290-$0293 $0444
37  ($25)   148 ($0094)              $0294-$0297 $0445
38  ($26)   152 ($0098)              $0298-$029B $0446
39  ($27)   156 ($009C)              $029C-$029F $0447
40  ($28)   160 ($00A0)              $02A0-$02A3 $0448
41  ($29)   164 ($00A4)              $02A4-$02A7 $0449
42  ($2A)   168 ($00A8)              $02A8-$02AB $044A
43  ($2B)   172 ($00AC)              $02AC-$02AF $044B
44  ($2C)   176 ($00B0)              $02B0-$02B3 $044C
45  ($2D)   180 ($00B4)              $02B4-$02B7 $044D
46  ($2E)   184 ($00B8)              $02B8-$02BB $044E
47  ($2F)   188 ($00BC)              $02BC-$02BF $044F
48  ($30)   192 ($00C0)              $02C0-$02C3 $0450
49  ($31)   196 ($00C4)              $02C4-$02C7 $0451
50  ($32)   200 ($00C8)              $02C8-$02CB $0452
51  ($33)   204 ($00CC)              $02CC-$02CF $0453
52  ($34)   208 ($00D0)              $02D0-$02D3 $0454
53  ($35)   212 ($00D4)              $02D4-$02D7 $0455
54  ($36)   216 ($00D8)              $02D8-$02DB $0456
55  ($37)   220 ($00DC)              $02DC-$02DF $0457
56  ($38)   224 ($00E0)              $02E0-$02E3 $0458
57  ($39)   228 ($00E4)              $02E4-$02E7 $0459
58  ($3A)   232 ($00E8)              $02E8-$02EB $045A
59  ($3B)   236 ($00EC)              $02EC-$02EF $045B
60  ($3C)   240 ($00F0)              $02F0-$02F3 $045C
61  ($3D)   244 ($00F4)              $02F4-$02F7 $045D
62  ($3E)   248 ($00F8)              $02F8-$02FB $045E
63  ($3F)   252 ($00FC)              $02FC-$02FF $045F
64  ($40)   256 ($0100)              $0300-$0303 $0460
65  ($41)   260 ($0104)              $0304-$0307 $0461
66  ($42)   264 ($0108)              $0308-$030B $0462
67  ($43)   268 ($010C)              $030C-$030F $0463
68  ($44)   272 ($0110)              $0310-$0313 $0464
69  ($45)   276 ($0114)              $0314-$0317 $0465
70  ($46)   280 ($0118)              $0318-$031B $0466
71  ($47)   284 ($011C)              $031C-$031F $0467
72  ($48)   288 ($0120)              $0320-$0323 $0468
73  ($49)   292 ($0124)              $0324-$0327 $0469
